"Drug","Groups","Indication"
"Lauryl Dimethylamine-N-Oxide","experimental",""
"(R)-Rolipram","experimental",""
"Threonine Derivative","experimental",""
"4-Methyl-Histidine","experimental",""
"2-Amino-3-(3-Hydroxy-7,8-Dihydro-6h-Cyclohepta[D]-4-Isoxazolyl)Propionic Acid","experimental",""
"S-Hydroxymethyl Glutathione","experimental",""
"N-Methyl-N-[3-(6-Phenyl[1,2,4]Triazolo[4,3-B]Pyridazin-3-Yl)Phenyl]Acetamide","experimental",""
"2-Fluoro-2-Deoxy-Beta-D-Galactopyranosyl-Beta-D-Glucopyranose","experimental",""
"Aspartate Beryllium Trifluoride","experimental",""
"N-[(Aminooxy)Carbonyl]Aniline","experimental",""
"6-(Adenosine Tetraphosphate-Methyl)-7,8-Dihydropterin","experimental",""
"Diphosphate","experimental",""
"5-Nitro-6-Ribityl-Amino-2,4(1h,3h)-Pyrimidinedione","experimental",""
"5-Phenylsulfanyl-2,4-Quinazolinediamine","experimental",""
"1,4-Deoxy-4-((5-Hydroxymethyl-2,3,4-Trihydroxycyclohex-5-Enyl)Amino)Fructose","experimental",""
"Valpromide","experimental",""
"2-Aminobenzoic Acid","experimental",""
"N-Acetyl-L-Glutamine","experimental",""
"2-Amino-5-Bromo-6-Phenylpyrimidin-4-Ol","experimental",""
"3,5-Diaminophthalhydrazide","experimental",""
"4-Bromo-3-Hydroxy-3-Methyl Butyl Diphosphate","experimental",""
"[2,4,6-Triisopropyl-Phenylsulfonyl-L-[3-Amidino-Phenylalanine]]-Piperazine-N'-Beta-Alanine","experimental",""
"Fructose","experimental",""
"3'-1-Carboxy-1-Phosphonooxy-Ethoxy-Uridine-Diphosphate-N-Acetylglucosamine","experimental",""
"Mdl-29951","experimental",""
"Phosporic Acid Mono-[3,4-Dihydroxy-5-(5-Methoxy-Benzoimidazol-1-Yl)-Tetrahydro-Furan-2-Ylmethyl] Ester","experimental",""
"Di-Stearoyl-3-Sn-Phosphatidylcholine","experimental",""
"Benzofuran","experimental",""
"4-(Aminosulfonyl)-N-[(2,4-Difluorophenyl)Methyl]-Benzamide","experimental",""
"Cefotaxime Group","experimental",""
"(S)-2-Amino-4-[(2s,3r)-2,3,5-Trihydroxy-4-Oxo-Pentyl]Mercapto-Butyric Acid","experimental",""
"Methylmalonic Acid","experimental",""
"Norvaline","experimental",""
"N'-(Pyrrolidino[2,1-B]Isoindolin-4-On-8-Yl)-N-(Pyridin-2-Yl)Urea","experimental",""
"(9s,10s)-9-(S-Glutathionyl)-10-Hydroxy-9,10-Dihydrophenanthrene","experimental",""
"Inhibitor Bea425","experimental",""
"Skf 107457","experimental",""
"Chitotriose","experimental",""
"Heptulose-2-Phosphate","experimental",""
"Pteroic Acid","experimental",""
"Descarboxy-nor-N(Omega)-Hydroxy-L-Arginine","experimental",""
"Formycin B","experimental",""
"1-Monohexanoyl-2-Hydroxy-Sn-Glycero-3-Phosphate","experimental",""
"Matairesinol","experimental",""
"Histidyl-Adenosine Monophosphate","experimental",""
"3-Mercuri-4-Aminobenzenesulfonamide","experimental",""
"[(4-{4-[4-(Difluoro-Phosphono-Methyl)-Phenyl]-Butyl}-Phenyl)-Difluoro-Methyl]-Phosphonic Acid","experimental",""
"Thymidine-3',5'-Diphosphate","experimental",""
"Nz2-Tryptophan","experimental",""
"N-(5-Amino-5-Carboxypentyl)Glutamic Acid","experimental",""
"3-(3,4-Dimethoxyphenyl)Propionic Acid","experimental",""
"Dequadin","experimental",""
"BV1","experimental",""
"2-Iminiopropanoate","experimental",""
"N-Cyclohexyl-N'-(Propyl)Phenyl Urea","experimental",""
"4-Nitrophenyl Phosphate","experimental",""
"CRA_9076","experimental",""
"Quercetin","experimental",""
"L-2-amino-3-butynoic acid","experimental",""
"1-Deaza-Adenosine","experimental",""
"Rifamycin Cgp 4832","experimental",""
"Didecyl-Dimethyl-Ammonium","experimental",""
"Nitroarginine","experimental",""
"Oleic Acid","experimental",""
"9-Amino-2-Deoxy-2,3-Dehydro-N-Acetyl-Neuraminic Acid","experimental",""
"7,10,13-Tri(Carboxymethyl)-5,15-Dioxo-4,7,10,13,16-Pentaaza-1,19-Dithianonadecane","experimental",""
"Nitromethyldethia Coenzyme A","experimental",""
"Tetra(Imidazole)Diaquacopper (I)","experimental",""
"N-Hydroxy-1-(4-Methoxyphenyl)Sulfonyl-4-Benzyloxycarbonyl-Piperazine-2-Carboxamide","experimental",""
"(Hydroxyethyloxy)Tri(Ethyloxy)Octane","experimental",""
"N2-({[(4-Bromophenyl)Methyl]Oxy}Carbonyl)-N1-[(1s)-1-Formylpentyl]-L-Leucinamide","experimental",""
"4-Amino Hexanoic Acid","experimental",""
"Tris(Hydroxyethyl)Aminomethane","experimental",""
"N-Alpha-(2-Naphthylsulfonyl)-N-(3-Amidino-L-Phenylalaninyl)-D-Pipecolinic Acid","experimental",""
"2-Amino-6-Aminomethyl-8-Phenylsulfanylmethyl-3h-Quinazolin-4-One","experimental",""
"N-Pyridoxyl-2-Methylalanine-5-Phosphate","experimental",""
"P-Hydroxybenzoic Acid","experimental",""
"5-Methyluridine 5'-Monophosphate","experimental",""
"1-[2-(3-Biphenyl)-4-Methylvaleryl)]Amino-3-(2-Pyridylsulfonyl)Amino-2-Propanone","experimental",""
"2-Hydroxy-3-Amino-4-Phenyl Butane","experimental",""
"CRA_23653","experimental",""
"Beta-1,4-Galactotrioside","experimental",""
"Zinc Substituted Heme C","experimental",""
"Butyrylthiocholine","experimental",""
"Monoisopropyl Ester Phosphonic Acid Group","experimental",""
"N-Carbamoyl-L-Aspartate","experimental",""
"CB1954","experimental",""
"8-Benzo[1,3]Dioxol-,5-Ylmethyl-9-Butyl-2-Fluoro-9h-Purin-6-Ylamine","experimental",""
"Inhibitor Bea388","experimental",""
"4-(1-Amino-1-Carboxy-Ethyl)-Benzoic Acid","experimental",""
"Palmitoleic Acid","experimental",""
"Seocalcitol","experimental",""
"9-(5,5-Difluoro-5-Phosphonopentyl)Guanine","experimental",""
"Carbamic Acid","experimental",""
"3-(7-Hydroxy-8-Ribityllumazine-6-Yl) Propionic Acid","experimental",""
"G418","experimental",""
"(10R)-10-Formyl-5,8,10-Trideazafolic Acid","experimental",""
"Beta-Sialic Acid","experimental",""
"Dipicolinic Acid","experimental",""
"Methylumbelliferyl Chitotriose","experimental",""
"Cyclotheonamide A","experimental",""
"(S)-3-(4-(2-Carbazol-9-Yl-Ethoxy)-Phenyl)-2-Ethoxy-Propionic Acid","experimental",""
"3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester","experimental",""
"Citric Acid","nutraceutical",""
"8,9-Dichloro-2,3,4,5-Tetrahydro-1h-Benzo[C]Azepine","experimental",""
"N-Acetyl Serotonin","experimental",""
"N-[N-[1-Hydroxycarboxyethyl-Carbonyl]Leucylamino-Butyl]-Guanidine","experimental",""
"Fructose -6-Phosphate","experimental",""
"2-[2-(2-Cyclohexyl-2-Guanidino-Acetylamino)-Acetylamino]-N-(3-Mercapto-Propyl)-Propionamide","experimental",""
"3-Isopropylmalic Acid","experimental",""
"((2r,3s,5r)-3-Hydroxy-5-(4-Hydroxy-2-Oxo-3,4-Dihydropyrimidin-1(2h)-Yl)-Tetrahydrofuran-2-Yl)Methyldihydrogen Phosphate","experimental",""
"2-[4-(4-Chlorophenyl)Cyclohexylidene]-3,4-Dihydroxy-1(2h)-Naphthalenone","experimental",""
"2-Deoxy-2fluoro-Glucose","experimental",""
"Proline Betaine","experimental",""
"{4-[(2s,4e)-2-(1,3-Benzothiazol-2-Yl)-2-(1h-1,2,3-Benzotriazol-1-Yl)-5-Phenylpent-4-Enyl]Phenyl}(Difluoro)Methylphosphonic Acid","experimental",""
"beta-D-Ribopyranose","experimental",""
"(S)-5-(4-Benzyloxy-Phenyl)-4-(7-Phenyl-Heptanoylamino)-Pentanoic Acid","experimental",""
"2-[Trans-(4-Aminocyclohexyl)Amino]-6-(Benzyl-Amino)-9-Cyclopentylpurine","experimental",""
"Genz-10850","experimental",""
"[2-Cytidylate-O'-Phosphonyloxyl]-Ethyl-Trimethyl-Ammonium","experimental",""
"7-(2-Amino-2-Phenyl-Acetylamino)-3-Chloro-8-Oxo-1-Aza-Bicyclo[4.2.0]Oct-2-Ene-2-Carboxylic Acid","experimental",""
"5-Phosphoribosyl-1-(Beta-Methylene) Pyrophosphate","experimental",""
"N-Benzoyl-N'-Beta-D-Glucopyranosyl Urea","experimental",""
"5-Oxo-L-Norleucine","experimental",""
"7-[4-(Dimethylamino)Phenyl]-N-Hydroxy-4,6-Dimethyl-7-Oxo-2,4-Heptadienamide","experimental",""
"3-(4-Amino-2-Tert-Butyl-5-Methyl-Phenylsulfanyl)-6-Cyclopentyl-4-Hydroxy-6-[2-(4-Hydroxy-Phenyl)-Ethyl]-5,6-Dihydro-Pyran-2-One","experimental",""
"Maleic Acid","experimental",""
"Bis(5-Amidino-2-Benzimidazolyl)Methane Ketone Hydrate","experimental",""
"4-Hydroxy-3,5-Dimethyl-5-(2-Methyl-Buta-1,3-Dienyl)-5h-Thiophen-2-One","experimental",""
"4-O-Methyl-Alpha-D-Glucuronic Acid","experimental",""
"Gluconic Acid","experimental",""
"5-[(4-Methylphenyl)Sulfanyl]-2,4-Quinazolinediamine","experimental",""
"5-Hydroxy-N-Propargyl-1(R)-Aminoindan","experimental",""
"2-[(Formyl-Hydroxy-Amino)-Methyl]-Heptanoic Acid [1-(2-Hydroxymethyl-Pyrrolidine-1-Carbonyl)-2-Methyl-Propyl]-Amide","experimental",""
"4-Phenylbutylamine","experimental",""
"2,3-Difluorobenzyl Alcohol","experimental",""
"1-Methylcytosine","experimental",""
"Guanosine-5'-Diphosphate","experimental",""
"D-[(N-Hydroxyamino)Carbonyl]Phenylalanine","experimental",""
"3,3-Dichloro-2-Phosphonomethyl-Acrylic Acid","experimental",""
"1-Benzyloxycarbonylamino-2-Phenyl-Ethyl)-{2-[1-Carbamoyl-2-(1h-Indol-3-Yl)-Ethylcarbamoyl]-5-Phenyl-Pentyl}-Phosphinic Acid","experimental",""
"6-Deoxyglucose","experimental",""
"2-Bromo-2-Propene-1-Ol","experimental",""
"LY249543","experimental",""
"Ovalicin","experimental",""
"2-Phenylethylamine","experimental",""
"1,3-Dihydroxyacetonephosphate","experimental",""
"Phosphatidylethanolamine","experimental",""
"Shikimate-3-Phosphate","experimental",""
"Bilh 434","experimental",""
"Monastrol","experimental",""
"6-hydroxydopa quinone","experimental",""
"Inosine","investigational","The primary popular claim made for inosine, that it enhances exercise and athletic performance, is refuted by the available research data. There is some preliminary evidence that inosine may have some neurorestorative, anti-inflammatory, immunomodulatory and cardioprotective effects."
"1-(4-Amidinophenyl)-3-(4-Chlorophenyl)Urea","experimental",""
"Methyl Isocyanide","experimental",""
"SB220025","experimental",""
"Carboxymethylenecysteine","experimental",""
"2-[(Dioxidophosphino)Oxy]Benzoate","experimental",""
"7-((Carboxy(4-Hydroxyphenyl)Acetyl)Amino)-7-Methoxy-(3-((1-Methyl-1h-Tetrazol-5-Yl)Thio)Methyl)-8-Oxo-5-Oxa-1-Azabicyclo[4.2.0]Oct-2-Ene-2-Carboxylic Acid","experimental",""
"Glyoxalate, Glyoxylate","experimental",""
"7,8-dimethylalloxazine","experimental",""
"(2r,4s)-2-Methyl-2,3,3,4-Tetrahydroxytetrahydrofuran","experimental",""
"3-Dehydroshikimate","experimental",""
"Taurocholic Acid","experimental",""
"S-1,2-Propanediol","experimental",""
"Argadin","experimental",""
"Aconitate Ion","experimental",""
"[(2r,3s,4s,5r)-3,4,5-Trihydroxytetrahydrofuran-2-Yl]Methyl Dihydrogen Phosphate","experimental",""
"{(1s)-1-Benzyl-4-[3-Carbamoyl-1-(1-Carbamoyl-2-Phenyl-Ethylcarbamoyl)-(S)-Propylcarbamoyl]-2-Oxo-5-Phenyl-Pentyl}-Carbamic Acid Tert-Butyl Ester","experimental",""
"Uridine-5'-Monophosphate Glucopyranosyl-Monophosphateester","experimental",""
"9-Deazaguanine","experimental",""
"Vinylsulphonic Acid","experimental",""
"Benzo[B]Thiophene-2-Boronic Acid","experimental",""
"Methylhydrazine","experimental",""
"Mesobiliverdin Iv Alpha","experimental",""
"Arecoline","experimental",""
"3'-Deoxy 3'-Amino Adenosine-5'-Diphosphate","experimental",""
"Debromohymenialdisine","experimental",""
"Bb-3497","experimental",""
"1,3,2-Dioxaborolan-2-Ol","experimental",""
"AL6528","experimental",""
"Di-Linoleoyl-3-Sn-Phosphatidylcholine","experimental",""
"4-Amino-N-{4-[2-(2,6-Dimethyl-Phenoxy)-Acetylamino]-3-Hydroxy-1-Isobutyl-5-Phenyl-Pentyl}-Benzamide","experimental",""
"4-Carboxy-5-(1-Pentyl)Hexylsulfanyl-1,2,3-Triazole","experimental",""
"5-Methyl-5,6,7,8-Tetrahydrofolic Acid","experimental",""
"13-Acetylphorbol","experimental",""
"3-Hydroxy-3-Methyl-Glutaric Acid","experimental",""
"3-Amino-N-{4-[2-(2,6-Dimethyl-Phenoxy)-Acetylamino]-3-Hydroxy-1-Isobutyl-5-Phenyl-Pentyl}-Benzamide","experimental",""
"N-Methyl-N-(Methylbenzyl)Formamide","experimental",""
"Diureido-Acetate","experimental",""
"Crotonaldehyde","experimental",""
"2-Deoxy-Beta-D-Galactose","experimental",""
"3-Deazacytidine","experimental",""
"4,6-O-(1-Carboxyethylidene)-Beta-D-Glucose","experimental",""
"1-Hydroxy-2-Amino-3-Cyclohexylpropane","experimental",""
"4-Carboxy-4-Aminobutanal","experimental",""
"Ado-P-Ch2-P-Ps-Ado","experimental",""
"Aeruginosin 98-B","experimental",""
"Bishydroxy[2h-1-Benzopyran-2-One,1,2-Benzopyrone]","experimental",""
"Diclosan","experimental",""
"3-Nitro-4-(2-Oxo-Pyrrolidin-1-Yl)-Benzenesulfonamide","experimental",""
"Phosphoaminophosphonic Acid-Adenylate Ester","experimental",""
"Thiodigalactoside","experimental",""
"Alpha-D-Glucose-1-Phosphate-6-Vanadate","experimental",""
"Lactic Acid","experimental",""
"7,8-Dihydrobiopterin","experimental",""
"[Formylmethyl]Trimethyl-Ammonium, N,N,N-Trimethylammonium Acetaldehyde","experimental",""
"Allosamizoline","experimental",""
"2-[2-(1,3-Dioxo-1,3-Dihydro-2h-Isoindol-2-Yl)Ethyl]-4-(4'-Ethoxy-1,1'-Biphenyl-4-Yl)-4-Oxobutanoic Acid","experimental",""
"4-[4-(4-Methyl-2-Methylamino-Thiazol-5-Yl)-Pyrimidin-2-Ylamino]-Phenol","experimental",""
"Ncs-Chromophore","experimental",""
"Naphthalene Trisulfonate","experimental",""
"3-Phenylpropylamine","experimental",""
"Alpha-N-Dichloroacetyl-P-Aminophenylserinol","experimental",""
"Heptamolybdate","experimental",""
"R-2-{[4'-Methoxy-(1,1'-Biphenyl)-4-Yl]-Sulfonyl}-Amino-6-Methoxy-Hex-4-Ynoic Acid","experimental",""
"P-Nitrophenol","experimental",""
"Adenylosuccinic Acid","experimental",""
"Norleucine","experimental",""
"2-Amino-4-Mercapto-Butyric Acid","experimental",""
"RPR128515","experimental",""
"7,8-Dihydroneopterin","experimental",""
"Alpha-Methyl-N-Acetyl-D-Glucosamine","experimental",""
"3-[[N-[4-Methyl-Piperazinyl]Carbonyl]-Phenylalaninyl-Amino]-5-Phenyl-Pentane-1-Sulfonic Acid Benzyloxy-Amide","experimental",""
"3-(4-Phenylamino-Phenylamino)-2-(1h-Tetrazol-5-Yl)-Acrylonitrile","experimental",""
"ZK-805623","experimental",""
"N''-{3-[(3s,8ar)-1,4-Dioxooctahydropyrrolo[1,2-a]Pyrazin-3-Yl]Propyl}Guanidine","experimental",""
"Naphthyridine Inhibitor","experimental",""
"Tetraphenyl-Arsonium","experimental",""
"3-Fluorotyrosine","experimental",""
"Cysteine-Methylene-Carbamoyl-1,10-Phenanthroline","experimental",""
"BVDU-MP","experimental",""
"Modified Acarbose Pentasaccharide","experimental",""
"Purine Riboside","experimental",""
"2-Fluoroadenosine","experimental",""
"2-(2-Oxo-1,2-Dihydro-Pyridin-3-Yl)-1h-Benzoimidazole-5-Carboxamidine","experimental",""
"Tetrafluoroaluminate Ion","experimental",""
"Mercury Diiodide","experimental",""
"Benzo[B]Thiophene-2-Carboxamidine","experimental",""
"1,4-Dithiothreitol","experimental",""
"2,4-Difluorobenzyl Alcohol 2,4-Difluoro-1-(Hydroxymethyl)Benzene","experimental",""
"Heptyl 1-Thiohexopyranoside","experimental",""
"4-Methylpiperazin-1-Yl Carbonyl Group","experimental",""
"N,N'-Bis(4-Amino-2-Methylquinolin-6-Yl)Urea","experimental",""
"4-O-(4,6-Dideoxy-4-{[4-[(4-O-Hexopyranosylhexopyranosyl)Oxy]-5,6-Dihydroxy-3-(Hydroxymethyl)Cyclohex-2-En-1-Yl]Amino}Hexopyranosyl)Hexopyranose","experimental",""
"Alpha-Aminobutyric Acid","experimental",""
"Trimethyl Glycine","experimental",""
"Trihydroxyarsenite(Iii)","experimental",""
"2'-Deoxyguanosine-5'-Monophosphate","experimental",""
"3,4-Dichloroisocoumarin","experimental",""
"(C8-S)-Hydantocidin 5'-Phosphate","experimental",""
"Coproporphyrin Iii","experimental",""
"Tetrabromo-2-Benzotriazole","experimental",""
"3-(4-Amino-1-Tert-Butyl-1h-Pyrazolo[3,4-D]Pyrimidin-3-Yl)Phenol","experimental",""
"N-Formylmethionine","experimental",""
"Lactose","experimental",""
"SR12813","experimental",""
"Pyridoxyl-Alanine-5-Phosphate","experimental",""
"Afimoxifene","investigational","For the potential treatment of menstrual-cycle related mastalgia, fibrocystic breast disease, breast disease, gynecomastia and Keloid scarring."
"1-(4-Methoxyphenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester","experimental",""
"CRA_10656","experimental",""
"2-Phenyl-1-[4-(2-Piperidin-1-Yl-Ethoxy)-Phenyl]-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol","experimental",""
"(R)-1-Para-Nitro-Phenyl-2-Azido-Ethanol","experimental",""
"Alpha-L-Fucose","experimental",""
"1-Anilino-8-Naphthalene Sulfonate","experimental",""
"Trencam-3,2-Hopo","experimental",""
"N-1,2,3,4-Tetrahydronaphth-1-Yl-2'-[3,5-Dimethoxybenzamido]-2'-Deoxy-Adenosine","experimental",""
"Cp-166572, 2-Hydroxymethyl-4-(4-N,N-Dimethylaminosulfonyl-1-Piperazino)-Pyrimidine","experimental",""
"3-(4-Fluorophenyl)-2-(6-Methylpyridin-2-Yl)-5,6-Dihydro-4h-Pyrrolo[1,2-B]Pyrazole","experimental",""
"Meso-Erythritol","experimental",""
"Cmp-2-Keto-3-Deoxy-Octulosonic Acid","experimental",""
"2-Deoxy-2-Fluoro-Beta-D-Mannose","experimental",""
"Deoxythymidine","experimental",""
"N-Methylleucine","experimental",""
"(6r,7r)-3-[(Acetyloxy)Methyl]-7-{[(6s)-6-(Glycylamino)-7-Oxido-7-Oxoheptanoyl]Amino}-8-Oxo-5-Thia-1-Azabicyclo[4.2.0]Octane-2-Carboxylate","experimental",""
"Guanidinoethylmercaptosuccinic acid","experimental",""
"3-(Mercaptomethylene)Pyridine","experimental",""
"Diisopropylphosphono Group","experimental",""
"2-(Acetylamino)-2-Deoxy-4-O-Sulfo-Alpha-D-Galactopyranose","experimental",""
"Fructose-6-Phosphate","experimental",""
"Mo(Vi)(=O)(Oh)2 Cluster","experimental",""
"RU81843","experimental",""
"4-Phospho-D-Erythronohydroxamic Acid","experimental",""
"Aspartate Semialdehyde","experimental",""
"R-Styrene Oxide","experimental",""
"Camphane","experimental",""
"WRR-204","experimental",""
"Sp-722","experimental",""
"8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine","experimental",""
"Methyl(6s)-1-Thio-L-Manno-Hexodialdo-6,2-Pyranoside","experimental",""
"N-Methylnaloxonium","experimental",""
"3-Phosphoglyceric Acid","experimental",""
"N-Succinyl Methionine","experimental",""
"2-Isobutyl-3-Methoxypyrazine","experimental",""
"N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide","experimental",""
"Phosphoric Acid-2'-[2'-Deoxy-Uridine]Ester-5'-Guanosine Ester","experimental",""
"6-Deoxy-2-O-Methyl-Alpha-L-Galactopyranose","experimental",""
"2-Deoxy-Glucitol-6-Phosphate","experimental",""
"Dipyrromethane Cofactor","experimental",""
"3-[4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamino]-Phenol","experimental",""
"Caprylic acid","experimental",""
"(3s,8ar)-3-(4-Hydroxybenzyl)Hexahydropyrrolo[1,2-a]Pyrazine-1,4-Dione","experimental",""
"GSHNA","experimental",""
"Phosphonoserine","experimental",""
"Tert-Butyl(1s)-1-Cyclohexyl-2-Oxoethylcarbamate","experimental",""
"Malonyl-Coenzyme A","experimental",""
"2-(Carboxymethoxy)-5-[(2s)-2-({(2s)-2-[(3-Carboxypropanoyl)Amino] -3-Phenylpropanoyl}Amino)-3-Oxo-3-(Pentylamino)Propyl]Benzoic Acid","experimental",""
"L-Glycero-D-Manno-Heptopyranose","experimental",""
"Beta-Hydroxyasparagine","experimental",""
"2,4-Dinitrophenol","experimental",""
"Desvancosaminyl Vancomycin","experimental",""
"S,S-(2-Hydroxyethyl)Thiocysteine","experimental",""
"Benzylcysteine","experimental",""
"Indole","experimental",""
"2-Amino-P-Cresol","experimental",""
"5-Nitroindazole","experimental",""
"L-Tryptophanamide","experimental",""
"2s,3s-3-Methylaspartic Acid","experimental",""
"Glyphosate","experimental",""
"Cholesterol","experimental",""
"(8ar)-Hexahydropyrrolo[1,2-a]Pyrazine-1,4-Dione","experimental",""
"3'-Azido-3'-Deoxythymidine-5'-Diphosphate","experimental",""
"2,6-Diamino-8-(1h-Imidazol-2-Ylsulfanylmethyl)-3h-Quinazoline-4-One","experimental",""
"1-Deoxy-1-Acetylamino-Beta-D-Gluco-2-Heptulopyranosonamide","experimental",""
"(3r,4r,5r)-5-(Hydroxymethyl)Piperidine-3,4-Diol","experimental",""
"3-Deaza-Adenosine","experimental",""
"Inhibitor Bea409","experimental",""
"4-Deoxy-D-Glucuronic Acid","experimental",""
"4-(Aminosulfonyl)-N-[(2,3,4-Trifluorophenyl)Methyl]-Benzamide","experimental",""
"Delta-Bis(2,2'-Bipyridine)Imidazole Osmium (Ii)","experimental",""
"Fructose-1,6-Diphosphate","experimental",""
"Niflumic Acid","approved","Used in the treatment of rheumatoid arthritis."
"2-Oxobutanoic Acid","experimental",""
"8-Bromoadenosine-5'-Diphosphate","experimental",""
"Cytidine-5'-Diphosphate","experimental",""
"3-[(1s)-1-(Dimethylamino)Ethyl]Phenol","experimental",""
"Arachidonic Acid","experimental",""
"Phenylmercury","experimental",""
"N-(Chlorophenyl)-N'-Hydroxyguanidine","experimental",""
"4,7-Dioxosebacic Acid","experimental",""
"4-Acetamido-2,4-Didexoy-D-Glycero-Beta-D-Galacto-Octopyranosylphosphonic Acid","experimental",""
"Tricarballylic Acid","experimental",""
"CRA_9678","experimental",""
"Gluconolactone","experimental",""
"4-(Acetylamino)-3-[(Hydroxyacetyl)Amino]Benzoic Acid","experimental",""
"Inosinic Acid","experimental",""
"5-Aminoimidazole Ribonucleoside","experimental",""
"Formic Acid Benzyl Ester","experimental",""
"Latamoxef","approved","Latamoxef is an oxacephem antibiotic usually grouped with the cephalosporins. It is used to treat bacterial infections. Latamoxef  is primarily indicated in conditions like Bone and joint infection, GI infections, Gynecological infections, Meningitis, Respiratory tract infections, Septicaemia, Skin infections, Soft tissue infections, UTI. "
"Thiotepa","approved","ThioTEPA is used a as conditioning treatment prior to allogeneic or autologous haematopoietic progenitor cell transplantation (HPCT) in haematological diseases in adult and paediatric patients. Also, when high dose chemotherapy with HPCT support it is appropriate for the treatment of solid tumours in adult and paediatric patients."
"Estriol","approved","Used as a test to determine the general health of an unborn fetus."
"Estropipate","approved","Estropipate is used for the treatment of moderate to severe vasomotor symptoms associated with the monopause, and moderate to severe symptoms of vulval and vaginal atrophy associated with the menopause. It is also used to treat hypoestrogenism due to hypogonadism, castration or primary ovarian failure, and prevent postmenopausal osteoporosis."
"Quinestrol","approved","Used in hormone replacement therapy, treating symptoms of menopause such as hot flashes. Also used to treat breast and prostate cancer."
"Fleroxacin","approved","Fleroxacin is a broad-spectrum antimicrobial fluoroquinolone."
"1-(1-phenylcyclopentyl)methylamine","experimental",""
"(S)-2-[(R)-3-amino-4-(2-fluorophenyl)butyryl]-1,2,3,4-tetrahydroisoquinoline-3-carboxamide","experimental",""
"N-{[(2S,3S)-3-(ETHOXYCARBONYL)OXIRAN-2-YL]CARBONYL}-","experimental",""
"1-Methyl-2-quinolone","experimental",""
"1-benzylimidazole","experimental",""
"5-(AMINOCARBONYL)-1,1':4',1''-TERPHENYL-3-CARBOXYLICACID","experimental",""
"DEHYDRO-2(S)-AMINO-6-BORONOHEXANOIC ACID","experimental",""
"2-bromophenol","experimental",""
"N-[4-(AMINOSULFONYL)BENZYL]-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE","experimental",""
"(2R)-({4-[AMINO(IMINO)METHYL]PHENYL}AMINO){5-ETHOXY-2-FLUORO-3-[(3R)-TETRAHYDROFURAN-3-YLOXY]PHENYL}ACETICACID","experimental",""
"N-{2,2-DIFLUORO-2-[(2R)-PIPERIDIN-2-YL]ETHYL}-2-[2-(1H-1,2,4-TRIAZOL-1-YL)BENZYL][1,3]OXAZOLO[4,5-C]PYRIDIN-4-AMINE","experimental",""
"3-Bromo-3-buten-1-ol","experimental",""
"3-({1-[3-CARBAMIMIDOYL-1-(4-CARBAMIMIDOYL-BENZYLCARBAMOYL)-PROPYLCARBAMOYL]-2-METHYL-BUTYLSULFAMOYL}-METHYL)-BENZOIC ACID","experimental",""
"3-hydroxyglutaric acid","experimental",""
"4,6-O-(1-CARBOXYETHYLIDENE)-BETA-D-MANNOSE-(1->4)-BETA-D-GLUCURONIC ACID","experimental",""
"[4,6-O-(1-CARBOXYETHYLIDENE)-BETA-D-MANNOSE]","experimental",""
"2-AMINO-4-CHLORO-3-HYDROXYBENZOIC ACID","experimental",""
"Aniracetam","experimental",""
"4-[(3-BROMO-4-O-SULFAMOYLBENZYL)(4-CYANOPHENYL)AMINO]-4H-[1,2,4]-TRIAZOLE","experimental",""
"4-[(4-O-SULFAMOYLBENZYL)(4-CYANOPHENYL)AMINO]-4H-[1,2,4]-TRIAZOLE","experimental",""
"PUROMYCIN AMINONUCLEOSIDE-5'-MONOPHOSPHATE","experimental",""
"5-iodotubercidin","experimental",""
"5-Aminoisoquinoline","experimental",""
"2-[2-ETHANESULFONYLAMINO-3-(5-PROPOXY-1H-INDOL-3-YL)-PROPIONYLAMINO]-PENTANEDIOIC ACID 5-AMIDE 1-(4-CARBAMIMIDOYL-BENZYLAMIDE)","experimental",""
"PHENYLAMINOIMIDAZO(1,2-ALPHA)PYRIDINE","experimental",""
"9-HYDROXY-4-PHENYL-6H-PYRROLO[3,4-C]CARBAZOLE-1,3-DIONE","experimental",""
"INHIBITOR Q8467 OF DUPONT MERCK","experimental",""
"7,8-dihydro-6-hydroxymethyl-7-methyl-7-[2-phenylethyl]-pterin","experimental",""
"N-METHYLALANYL-3-METHYLVALYL-4-PHENOXY-N-(1,2,3,4-TETRAHYDRONAPHTHALEN-1-YL)PROLINAMIDE","experimental",""
"(R)-tacrine(10)-hupyridone","experimental",""
"(S)-tacrine(10)-hupyridone","experimental",""
"TACRINE(8)-4-AMINOQUINOLINE","experimental",""
"(9S)-9-[(8-AMMONIOOCTYL)AMINO]-1,2,3,4,9,10-HEXAHYDROACRIDINIUM","experimental",""
