Drug,Classes,Groups,Gene,Protein,Gene Type,Drug Action,DrugBank.ID
Lauryl Dimethylamine-N-Oxide,,experimental,amtB,Ammonia channel,target,,DB04147
Lauryl Dimethylamine-N-Oxide,,experimental,pbp2,Penicillin-binding protein 2,target,,DB04147
Lauryl Dimethylamine-N-Oxide,,experimental,DHODH,"Dihydroorotate dehydrogenase (quinone), mitochondrial",target,,DB04147
Lauryl Dimethylamine-N-Oxide,,experimental,traO,TraO protein,target,,DB04147
Lauryl Dimethylamine-N-Oxide,,experimental,traF,TraF protein,target,,DB04147
Lauryl Dimethylamine-N-Oxide,,experimental,traN,TraN protein,target,,DB04147
Lauryl Dimethylamine-N-Oxide,,experimental,PFL_1329,"Outer membrane porin, OprD family",target,,DB04147
(R)-Rolipram,,experimental,PDE4B,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",target,inhibitor,DB04149
(R)-Rolipram,,experimental,PDE4D,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",target,,DB04149
"N-Methyl-N-[3-(6-Phenyl[1,2,4]Triazolo[4,3-B]Pyridazin-3-Yl)Phenyl]Acetamide",,experimental,zipA,Cell division protein ZipA homolog,target,,DB04154
"N-Methyl-N-[3-(6-Phenyl[1,2,4]Triazolo[4,3-B]Pyridazin-3-Yl)Phenyl]Acetamide",,experimental,zipA,Cell division protein ZipA,target,,DB04154
Aspartate Beryllium Trifluoride,,experimental,CTDSP1,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,target,,DB04156
Aspartate Beryllium Trifluoride,,experimental,supH,Sugar phosphatase YbiV,target,,DB04156
Aspartate Beryllium Trifluoride,,experimental,cheY,Chemotaxis protein CheY,target,,DB04156
Diphosphate,,experimental,purA,Adenylosuccinate synthetase,target,,DB04160
Diphosphate,,experimental,nadE,NH(3)-dependent NAD(+) synthetase,target,,DB04160
Diphosphate,,experimental,tmk,Thymidylate kinase,target,,DB04160
Diphosphate,,experimental,fhuA,Ferrichrome-iron receptor,target,,DB04160
Diphosphate,,experimental,ispA,Farnesyl diphosphate synthase,target,,DB04160
Diphosphate,,experimental,idi,Isopentenyl-diphosphate Delta-isomerase,target,,DB04160
"5-Nitro-6-Ribityl-Amino-2,4(1h,3h)-Pyrimidinedione",,experimental,ribH2,"6,7-dimethyl-8-ribityllumazine synthase 2",target,,DB04162
"5-Nitro-6-Ribityl-Amino-2,4(1h,3h)-Pyrimidinedione",,experimental,ribH,"6,7-dimethyl-8-ribityllumazine synthase",target,,DB04162
"5-Phenylsulfanyl-2,4-Quinazolinediamine",,experimental,DFR1,Dihydrofolate reductase,target,,DB04163
"5-Phenylsulfanyl-2,4-Quinazolinediamine",,experimental,DHFRL1,"Dihydrofolate reductase, mitochondrial",target,,DB04163
2-Aminobenzoic Acid,,experimental,IL4I1,L-amino-acid oxidase,target,,DB04166
2-Aminobenzoic Acid,,experimental,DAO,D-amino-acid oxidase,target,,DB04166
Fructose,,experimental,lamB,Maltoporin,target,,DB04173
Fructose,,experimental,FHIT,Bis(5'-adenosyl)-triphosphatase,target,,DB04173
Di-Stearoyl-3-Sn-Phosphatidylcholine,,experimental,BPI,Bactericidal permeability-increasing protein,target,,DB04178
Di-Stearoyl-3-Sn-Phosphatidylcholine,,experimental,SLC25A4,ADP/ATP translocase 1,target,,DB04178
Norvaline,,experimental,OTC,"Ornithine carbamoyltransferase, mitochondrial",target,,DB04185
Norvaline,,experimental,GATM,"Glycine amidinotransferase, mitochondrial",target,,DB04185
Formycin B,,experimental,HGPRTase,Hypoxanthine-guanine phosphoribosyltransferase,target,,DB04198
Formycin B,,experimental,deoD,Purine nucleoside phosphorylase DeoD-type,target,,DB04198
1-Monohexanoyl-2-Hydroxy-Sn-Glycero-3-Phosphate,,experimental,mxiM,Lipoprotein MxiM,target,,DB04199
1-Monohexanoyl-2-Hydroxy-Sn-Glycero-3-Phosphate,,experimental,mxiM,Lipoprotein MxiM,target,,DB04199
1-Monohexanoyl-2-Hydroxy-Sn-Glycero-3-Phosphate,,experimental,ECs4578,GrlR,target,,DB04199
Histidyl-Adenosine Monophosphate,,experimental,hisS,Histidine--tRNA ligase,target,,DB04201
Histidyl-Adenosine Monophosphate,,experimental,hisS,Histidine--tRNA ligase,target,,DB04201
"Thymidine-3',5'-Diphosphate",,experimental,topA,DNA topoisomerase 1,target,,DB04205
"Thymidine-3',5'-Diphosphate",,experimental,nuc,Thermonuclease,target,,DB04205
Dequadin,,experimental,acrB,Acriflavine resistance protein B,target,,DB04209
Dequadin,,experimental,qacR,HTH-type transcriptional regulator QacR,target,,DB04209
4-Nitrophenyl Phosphate,Chromogenic Compounds,experimental,ACP1,Low molecular weight phosphotyrosine protein phosphatase,target,,DB04214
4-Nitrophenyl Phosphate,Chromogenic Compounds,experimental,DUSP23,Dual specificity protein phosphatase 23,target,,DB04214
Quercetin,Antioxidants,experimental,HCK,Tyrosine-protein kinase HCK,target,,DB04216
Quercetin,Antioxidants,experimental,PIK3CG,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",target,,DB04216
Quercetin,Antioxidants,experimental,UGT3A1,UDP-glucuronosyltransferase 3A1,target,,DB04216
Quercetin,Antioxidants,experimental,ATP5A1,"ATP synthase subunit alpha, mitochondrial",target,,DB04216
Quercetin,Antioxidants,experimental,ATP5B,"ATP synthase subunit beta, mitochondrial",target,,DB04216
Quercetin,Antioxidants,experimental,ATP5C1,"ATP synthase subunit gamma, mitochondrial",target,,DB04216
Quercetin,Antioxidants,experimental,PIM1,Serine/threonine-protein kinase pim-1,target,,DB04216
Quercetin,Antioxidants,experimental,ttgR,HTH-type transcriptional regulator TtgR,target,,DB04216
Quercetin,Antioxidants,experimental,HIBCH,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",target,,DB04216
Quercetin,Antioxidants,experimental,fabZ,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,target,,DB04216
Quercetin,Antioxidants,experimental,STK17B,Serine/threonine-protein kinase 17B,target,,DB04216
L-2-amino-3-butynoic acid,Anti-Bacterial Agents,experimental,CTH,Cystathionine gamma-lyase,target,,DB04217
L-2-amino-3-butynoic acid,Anti-Bacterial Agents,experimental,sufS,Cysteine desulfurase,target,,DB04217
Nitroarginine,Enzyme Inhibitors,experimental,NOS3,"Nitric oxide synthase, endothelial",target,,DB04223
Nitroarginine,Enzyme Inhibitors,experimental,NOS1,"Nitric oxide synthase, brain",target,,DB04223
Oleic Acid,,experimental,GLTP,Glycolipid transfer protein,target,,DB04224
Oleic Acid,,experimental,,14 kDa fatty acid-binding protein,target,,DB04224
Oleic Acid,,experimental,PMP2,Myelin P2 protein,target,,DB04224
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,ompX,Outer membrane protein X,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,ompA,Outer membrane protein A,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,opmA,Porin,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,ompF,Outer membrane protein F,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,fadL,Long-chain fatty acid transport protein,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,shc,Squalene--hopene cyclase,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,btuB,Vitamin B12 transporter BtuB,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,CLPS,Colipase,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,PNLIP,Pancreatic triacylglycerol lipase,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,RHO,Rhodopsin,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,sll1541,"Apocarotenoid-15,15'-oxygenase",target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,ompG,Outer membrane protein G,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,ompW,Outer membrane protein W,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,hia,Adhesin,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,oprP,Porin P,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,oprD,Porin D,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,,Porin,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,opdK,Vanillate porin OpdK,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,papC,Outer membrane usher protein PapC,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,ompC,Outer membrane porin C,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,tbuX,TbuX,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,Pput_2883,Membrane protein involved in aromatic hydrocarbon degradation,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,PA4589,Probable outer membrane protein,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,TT_C0834,Hypothetical conserved protein,target,,DB04233
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,,experimental,estA,Esterase EstA,target,,DB04233
Tris(Hydroxyethyl)Aminomethane,,experimental,AMY1A,Alpha-amylase 1,target,,DB04237
Tris(Hydroxyethyl)Aminomethane,,experimental,clcA,"Chlorocatechol 1,2-dioxygenase",target,,DB04237
Tris(Hydroxyethyl)Aminomethane,,experimental,alpha-LP,Alpha-lytic protease,target,,DB04237
P-Hydroxybenzoic Acid,,experimental,fcbC,4-hydroxybenzoyl-CoA thioesterase,target,,DB04242
P-Hydroxybenzoic Acid,,experimental,pobA,p-hydroxybenzoate hydroxylase,target,,DB04242
P-Hydroxybenzoic Acid,,experimental,ubiC,Chorismate--pyruvate lyase,target,,DB04242
P-Hydroxybenzoic Acid,,experimental,pobA,p-hydroxybenzoate hydroxylase,target,,DB04242
Monoisopropyl Ester Phosphonic Acid Group,,experimental,BVRF2,Capsid scaffolding protein,target,,DB04251
Monoisopropyl Ester Phosphonic Acid Group,,experimental,BCHE,Cholinesterase,target,,DB04251
CB1954,,experimental,nfnB,Oxygen-insensitive NAD(P)H nitroreductase,target,,DB04253
CB1954,,experimental,NQO2,Ribosyldihydronicotinamide dehydrogenase [quinone],target,,DB04253
Palmitoleic Acid,,experimental,cypC,Fatty-acid peroxygenase,target,,DB04257
Palmitoleic Acid,,experimental,CYP102A1,Bifunctional P-450/NADPH-P450 reductase,target,,DB04257
Palmitoleic Acid,,experimental,lpxC,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,target,,DB04257
Beta-Sialic Acid,,experimental,nedA,Sialidase,target,,DB04265
Beta-Sialic Acid,,experimental,,Endo-N-acetylneuraminidase,target,,DB04265
Beta-Sialic Acid,,experimental,HN,Hemagglutinin-neuraminidase,target,,DB04265
Beta-Sialic Acid,,experimental,tetX,Tetanus toxin,target,,DB04265
Dipicolinic Acid,,experimental,dapB,4-hydroxy-tetrahydrodipicolinate reductase,target,,DB04267
Dipicolinic Acid,,experimental,dapB,4-hydroxy-tetrahydrodipicolinate reductase,target,,DB04267
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,eda,KHG/KDPG aldolase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,mobA,Molybdenum cofactor guanylyltransferase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,fumC,Fumarate hydratase class II,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,pgl,6-phosphogluconolactonase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,nfnB,Oxygen-insensitive NAD(P)H nitroreductase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,gag-pro-pol,Gag-Pro-Pol polyprotein,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,IL4I1,L-amino-acid oxidase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,MIF,Macrophage migration inhibitory factor,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,CTDSP1,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,trpA,Tryptophan synthase alpha chain,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,nedA,Sialidase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,,Cytochrome c peroxidase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,YPTB1668,Invasin,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,ITEVIR,Intron-associated endonuclease 1,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,12,Short tail fiber protein,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,MDH2,"Malate dehydrogenase, mitochondrial",target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,purE,N5-carboxyaminoimidazole ribonucleotide mutase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,rplD,50S ribosomal protein L4,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,CPB1,Carboxypeptidase B,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,PII,Hexon protein,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,TM_0857,Riboflavin biosynthesis protein RibF,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,bfrA,Beta-fructosidase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,sspA,Putative stringent starvation protein A,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,cit,Citrate synthase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,rtcA,RNA 3'-terminal phosphate cyclase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,LSM6,U6 snRNA-associated Sm-like protein LSm6,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,PLEKHA1,Pleckstrin homology domain-containing family A member 1,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,fbpA,Fe(3+)-binding periplasmic protein,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,TM_0570,Signal recognition particle receptor FtsY,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,nadD,Nicotinate-nucleotide adenylyltransferase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,nusB,N utilization substance protein B homolog,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,C8G,Complement component C8 gamma chain,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,nrdF,Ribonucleoside-diphosphate reductase subunit beta,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,glnA1,Glutamine synthetase 1,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,gltA,Citrate synthase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,Tb11.02.2310,Prostaglandin F synthase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,ftsZ,Cell division protein FtsZ,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,APRT,Adenine phosphoribosyltransferase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,ANG,Angiogenin,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,rmlA,Glucose-1-phosphate thymidylyltransferase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,blm,Beta-lactamase 2,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,BC_1747,Glyoxalase family protein,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,UCK2,Uridine-cytidine kinase 2,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,yfiH,Laccase domain protein YfiH,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,BHMT,Betaine--homocysteine S-methyltransferase 1,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,rpiA,Ribose-5-phosphate isomerase A,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,trpS,Tryptophan--tRNA ligase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,guaA,GMP synthase [glutamine-hydrolyzing],target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,AKR1B1,Aldose reductase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,ITPA,Inosine triphosphate pyrophosphatase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,CS,"Citrate synthase, mitochondrial",target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,17,Lysozyme,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,HS3ST3A1,Heparan sulfate glucosamine 3-O-sulfotransferase 3A1,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,TM_1436,Glycerol uptake operon antiterminator regulatory protein,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,pcaB,"3-carboxy-cis,cis-muconate cycloisomerase",target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,SRC,Proto-oncogene tyrosine-protein kinase Src,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,pdc,Pyruvate decarboxylase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,RNASE1,Ribonuclease pancreatic,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,icd,Isocitrate dehydrogenase [NADP],target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,GNMT,Glycine N-methyltransferase,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,RNASE3,Eosinophil cationic protein,target,,DB04272
Citric Acid,AnticoagulantsChelating Agents,nutraceutical,penP,Beta-lactamase,target,,DB04272
N-[N-[1-Hydroxycarboxyethyl-Carbonyl]Leucylamino-Butyl]-Guanidine,,experimental,srtB,NPQTN specific sortase B,target,,DB04276
N-[N-[1-Hydroxycarboxyethyl-Carbonyl]Leucylamino-Butyl]-Guanidine,,experimental,CAPN1,Calpain-1 catalytic subunit,target,,DB04276
3-Isopropylmalic Acid,,experimental,leuB,3-isopropylmalate dehydrogenase,target,,DB04279
3-Isopropylmalic Acid,,experimental,icd,Isocitrate dehydrogenase [NADP],target,,DB04279
2-Deoxy-2fluoro-Glucose,,experimental,celB,Cellulase B,target,,DB04282
2-Deoxy-2fluoro-Glucose,,experimental,bglA,Beta-glucosidase A,target,,DB04282
2-Deoxy-2fluoro-Glucose,,experimental,LCT,Lactase-phlorizin hydrolase,target,,DB04282
2-Deoxy-2fluoro-Glucose,,experimental,cex,Exoglucanase/xylanase,target,,DB04282
beta-D-Ribopyranose,,experimental,rbsB,D-ribose-binding periplasmic protein,target,,DB04286
beta-D-Ribopyranose,,experimental,rbsD,D-ribose pyranase,target,,DB04286
"7-[4-(Dimethylamino)Phenyl]-N-Hydroxy-4,6-Dimethyl-7-Oxo-2,4-Heptadienamide",Antifungal Agents,experimental,HDAC8,Histone deacetylase 8,target,,DB04297
"7-[4-(Dimethylamino)Phenyl]-N-Hydroxy-4,6-Dimethyl-7-Oxo-2,4-Heptadienamide",Antifungal Agents,experimental,acuC1,Acetoin utilization protein,target,,DB04297
"7-[4-(Dimethylamino)Phenyl]-N-Hydroxy-4,6-Dimethyl-7-Oxo-2,4-Heptadienamide",Antifungal Agents,experimental,HDAC7,Histone deacetylase 7,target,,DB04297
Maleic Acid,,experimental,GOT1,"Aspartate aminotransferase, cytoplasmic",target,,DB04299
Maleic Acid,,experimental,aspC,Aspartate aminotransferase,target,,DB04299
Maleic Acid,,experimental,TPR,Trypanothione reductase,target,,DB04299
Maleic Acid,,experimental,aspC,Aspartate aminotransferase,target,,DB04299
Maleic Acid,,experimental,tyrB,Aromatic-amino-acid aminotransferase,target,,DB04299
"4-Hydroxy-3,5-Dimethyl-5-(2-Methyl-Buta-1,3-Dienyl)-5h-Thiophen-2-One",,experimental,fabB,3-oxoacyl-[acyl-carrier-protein] synthase 1,target,,DB04302
"4-Hydroxy-3,5-Dimethyl-5-(2-Methyl-Buta-1,3-Dienyl)-5h-Thiophen-2-One",,experimental,kasA,3-oxoacyl-[acyl-carrier-protein] synthase 1,target,,DB04302
4-O-Methyl-Alpha-D-Glucuronic Acid,,experimental,xynC,Endoxylanase,target,,DB04303
4-O-Methyl-Alpha-D-Glucuronic Acid,,experimental,aguA,Alpha-glucuronidase,target,,DB04303
"5-[(4-Methylphenyl)Sulfanyl]-2,4-Quinazolinediamine",,experimental,DFR1,Dihydrofolate reductase,target,,DB04306
"5-[(4-Methylphenyl)Sulfanyl]-2,4-Quinazolinediamine",,experimental,DHFRL1,"Dihydrofolate reductase, mitochondrial",target,,DB04306
2-[(Formyl-Hydroxy-Amino)-Methyl]-Heptanoic Acid [1-(2-Hydroxymethyl-Pyrrolidine-1-Carbonyl)-2-Methyl-Propyl]-Amide,,experimental,,Peptide deformylase 2,target,,DB04310
2-[(Formyl-Hydroxy-Amino)-Methyl]-Heptanoic Acid [1-(2-Hydroxymethyl-Pyrrolidine-1-Carbonyl)-2-Methyl-Propyl]-Amide,,experimental,def,Peptide deformylase,target,,DB04310
2-[(Formyl-Hydroxy-Amino)-Methyl]-Heptanoic Acid [1-(2-Hydroxymethyl-Pyrrolidine-1-Carbonyl)-2-Methyl-Propyl]-Amide,,experimental,def,Peptide deformylase,target,,DB04310
2-[(Formyl-Hydroxy-Amino)-Methyl]-Heptanoic Acid [1-(2-Hydroxymethyl-Pyrrolidine-1-Carbonyl)-2-Methyl-Propyl]-Amide,,experimental,def,Peptide deformylase,target,,DB04310
2-[(Formyl-Hydroxy-Amino)-Methyl]-Heptanoic Acid [1-(2-Hydroxymethyl-Pyrrolidine-1-Carbonyl)-2-Methyl-Propyl]-Amide,,experimental,def,Peptide deformylase,target,,DB04310
2-[(Formyl-Hydroxy-Amino)-Methyl]-Heptanoic Acid [1-(2-Hydroxymethyl-Pyrrolidine-1-Carbonyl)-2-Methyl-Propyl]-Amide,,experimental,def,Peptide deformylase,target,,DB04310
2-[(Formyl-Hydroxy-Amino)-Methyl]-Heptanoic Acid [1-(2-Hydroxymethyl-Pyrrolidine-1-Carbonyl)-2-Methyl-Propyl]-Amide,,experimental,def1,Peptide deformylase 1,target,,DB04310
2-[(Formyl-Hydroxy-Amino)-Methyl]-Heptanoic Acid [1-(2-Hydroxymethyl-Pyrrolidine-1-Carbonyl)-2-Methyl-Propyl]-Amide,,experimental,def2,Peptide deformylase 2,target,,DB04310
2-[(Formyl-Hydroxy-Amino)-Methyl]-Heptanoic Acid [1-(2-Hydroxymethyl-Pyrrolidine-1-Carbonyl)-2-Methyl-Propyl]-Amide,,experimental,def,Peptide deformylase,target,,DB04310
2-[(Formyl-Hydroxy-Amino)-Methyl]-Heptanoic Acid [1-(2-Hydroxymethyl-Pyrrolidine-1-Carbonyl)-2-Methyl-Propyl]-Amide,,experimental,def,Peptide deformylase,target,,DB04310
2-[(Formyl-Hydroxy-Amino)-Methyl]-Heptanoic Acid [1-(2-Hydroxymethyl-Pyrrolidine-1-Carbonyl)-2-Methyl-Propyl]-Amide,,experimental,PDF,"Peptide deformylase, mitochondrial",target,,DB04310
Guanosine-5'-Diphosphate,,experimental,ADSSL1,Adenylosuccinate synthetase isozyme 1,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,fusA,Elongation factor G,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,TUFM,"Elongation factor Tu, mitochondrial",target,,DB04315
Guanosine-5'-Diphosphate,,experimental,der,GTPase Der,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,nudD,GDP-mannose mannosyl hydrolase,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,engB,Probable GTP-binding protein EngB,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,EIF2S3,Eukaryotic translation initiation factor 2 subunit 3,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,GNAI1,Guanine nucleotide-binding protein G(i) subunit alpha-1,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,ffh,Signal recognition particle protein,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,GNAT1,Guanine nucleotide-binding protein G(t) subunit alpha-1,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,tufB,Elongation factor Tu-B,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,RAB9A,Ras-related protein Rab-9A,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,NME1,Nucleoside diphosphate kinase A,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,RHEB,GTP-binding protein Rheb,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,CDC42,Cell division control protein 42 homolog,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,tufA,Elongation factor Tu,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,ARF1,ADP-ribosylation factor 1,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,EEF2,Elongation factor 2,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,relA,Bifunctional (p)ppGpp synthase/hydrolase RelA,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,RAP2A,Ras-related protein Rap-2a,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,EFTUD1,Elongation factor Tu GTP-binding domain-containing protein 1,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,ARL1,ADP-ribosylation factor-like protein 1,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,RAN,GTP-binding nuclear protein Ran,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,RAB7A,Ras-related protein Rab-7a,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,IRGC,Interferon-inducible GTPase 5,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,GSPT1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,RAB5A,Ras-related protein Rab-5A,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,HRAS,GTPase HRas,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,EEF1A1,Elongation factor 1-alpha 1,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,RHOA,Transforming protein RhoA,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,ARF4,ADP-ribosylation factor 4,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,TGM2,Protein-glutamine gamma-glutamyltransferase 2,target,,DB04315
Guanosine-5'-Diphosphate,,experimental,GMDS,"GDP-mannose 4,6 dehydratase",target,,DB04315
